Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Nameplate Energy Capacity (MWh),DC Net Capacity (MW),Planned Derate Year,Planned Derate Month,Planned Derate of Summer Capacity (MW),Planned Uprate Year,Planned Uprate Month,Planned Uprate of Summer Capacity (MW),Latitude,Longitude,Minimum Duration (hr),Heat Rate (MMBtu/MWh),Ramp Up Rate (MW/h),Ramp Down Rate (MW/h),Start Up Costs ($/MW),Shut Down Costs ($/MW),Minimum Capacity (MW),Start Up Rate (MW/h),Shut Down Rate (MW/h),Minimum Up Time (hr)
54895,FirstLight Power Resources Services LLC,539,Rocky River (CT),Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,1,,3.5,2,2,Hydroelectric Pumped Storage,WAT,PS,1,1929, , ,(OP) Operating, , , , , , , , ,41.5826,-73.4349,2,8642,1.4,1.4,9302,3824,1.05,1.4,1.4,5
54895,FirstLight Power Resources Services LLC,539,Rocky River (CT),Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,2,,3.5,2,2,Hydroelectric Pumped Storage,WAT,PS,1,1928, , ,(OP) Operating, , , , , , , , ,41.5826,-73.4349,1,8968,1.4,1.4,616,2621,1.05,1.4,1.4,6
54895,FirstLight Power Resources Services LLC,539,Rocky River (CT),Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,3,,24,25.4,25,Hydroelectric Pumped Storage,WAT,PS,1,1928, , ,(OP) Operating, , , , , , , , ,41.5826,-73.4349,7,8485,9.6,9.6,13867,493,7.2,9.6,9.6,2
22379,Connecticut Jet Power LLC,540,Branford,Map,Map,CT,New Haven,ISNE,IPP Non-CHP,UN10,,21.8,17.4,22.5,Petroleum Liquids,KER,GT,11,1967, , ,(OP) Operating, , , , , , , , ,41.2925,-72.7942,9,8538,8.72,8.72,6500,1530,6.54,8.72,8.72,4
54895,FirstLight Power Resources Services LLC,541,Bulls Bridge,Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,1,,1.2,1.4,1.4,Conventional Hydroelectric,WAT,HY,1,1903, , ,(OP) Operating, , , , , , , , ,41.659046,-73.49198,4,10051,0.48,0.48,2325,953,0.36,0.48,0.48,1
54895,FirstLight Power Resources Services LLC,541,Bulls Bridge,Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,2,,1.2,1.4,1.4,Conventional Hydroelectric,WAT,HY,1,1903, , ,(OP) Operating, , , , , , , , ,41.659046,-73.49198,2,10800,0.48,0.48,14724,792,0.36,0.48,0.48,3
54895,FirstLight Power Resources Services LLC,541,Bulls Bridge,Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,3,,1.2,1.4,1.4,Conventional Hydroelectric,WAT,HY,1,1903, , ,(OP) Operating, , , , , , , , ,41.659046,-73.49198,7,11218,0.48,0.48,8767,1460,0.36,0.48,0.48,5
54895,FirstLight Power Resources Services LLC,541,Bulls Bridge,Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,4,,1.2,1.4,1.4,Conventional Hydroelectric,WAT,HY,1,1903, , ,(OP) Operating, , , , , , , , ,41.659046,-73.49198,8,11660,0.48,0.48,4779,48,0.36,0.48,0.48,3
54895,FirstLight Power Resources Services LLC,541,Bulls Bridge,Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,5,,1.2,1.4,1.4,Conventional Hydroelectric,WAT,HY,1,1903, , ,(OP) Operating, , , , , , , , ,41.659046,-73.49198,9,8770,0.48,0.48,3005,2999,0.36,0.48,0.48,7
54895,FirstLight Power Resources Services LLC,541,Bulls Bridge,Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,6,,1.2,1.4,1.4,Conventional Hydroelectric,WAT,HY,1,1903, , ,(OP) Operating, , , , , , , , ,41.659046,-73.49198,2,9190,0.48,0.48,2557,2657,0.36,0.48,0.48,5
