Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Nameplate Energy Capacity (MWh),DC Net Capacity (MW),Planned Derate Year,Planned Derate Month,Planned Derate of Summer Capacity (MW),Planned Uprate Year,Planned Uprate Month,Planned Uprate of Summer Capacity (MW),Latitude,Longitude
54895,FirstLight Power Resources Services LLC,539.0,Rocky River (CT),Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,1,,3.5,2,2,Hydroelectric Pumped Storage,WAT,PS,1.0,1929.0, , ,(OP) Operating, , , , , , , , ,41.5826,-73.4349
54895,FirstLight Power Resources Services LLC,539.0,Rocky River (CT),Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,2,,3.5,2,2,Hydroelectric Pumped Storage,WAT,PS,1.0,1928.0, , ,(OP) Operating, , , , , , , , ,41.5826,-73.4349
54895,FirstLight Power Resources Services LLC,539.0,Rocky River (CT),Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,3,,24.0,25.4,25,Hydroelectric Pumped Storage,WAT,PS,1.0,1928.0, , ,(OP) Operating, , , , , , , , ,41.5826,-73.4349
22379,Connecticut Jet Power LLC,540.0,Branford,Map,Map,CT,New Haven,ISNE,IPP Non-CHP,UN10,,21.8,17.4,22.5,Petroleum Liquids,KER,GT,11.0,1967.0, , ,(OP) Operating, , , , , , , , ,41.2925,-72.7942
54895,FirstLight Power Resources Services LLC,541.0,Bulls Bridge,Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,1,,1.2,1.4,1.4,Conventional Hydroelectric,WAT,HY,1.0,1903.0, , ,(OP) Operating, , , , , , , , ,41.659046,-73.49198
54895,FirstLight Power Resources Services LLC,541.0,Bulls Bridge,Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,2,,1.2,1.4,1.4,Conventional Hydroelectric,WAT,HY,1.0,1903.0, , ,(OP) Operating, , , , , , , , ,41.659046,-73.49198
54895,FirstLight Power Resources Services LLC,541.0,Bulls Bridge,Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,3,,1.2,1.4,1.4,Conventional Hydroelectric,WAT,HY,1.0,1903.0, , ,(OP) Operating, , , , , , , , ,41.659046,-73.49198
54895,FirstLight Power Resources Services LLC,541.0,Bulls Bridge,Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,4,,1.2,1.4,1.4,Conventional Hydroelectric,WAT,HY,1.0,1903.0, , ,(OP) Operating, , , , , , , , ,41.659046,-73.49198
54895,FirstLight Power Resources Services LLC,541.0,Bulls Bridge,Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,5,,1.2,1.4,1.4,Conventional Hydroelectric,WAT,HY,1.0,1903.0, , ,(OP) Operating, , , , , , , , ,41.659046,-73.49198
54895,FirstLight Power Resources Services LLC,541.0,Bulls Bridge,Map,Map,CT,Litchfield,ISNE,IPP Non-CHP,6,,1.2,1.4,1.4,Conventional Hydroelectric,WAT,HY,1.0,1903.0, , ,(OP) Operating, , , , , , , , ,41.659046,-73.49198
22379,Connecticut Jet Power LLC,542.0,Cos Cob,Map,Map,CT,Fairfield,ISNE,IPP Non-CHP,UN10,,25.0,19.1,24,Petroleum Liquids,KER,GT,9.0,1969.0, , ,(OP) Operating, , , , , , , , ,41.0289,-73.5989
22379,Connecticut Jet Power LLC,542.0,Cos Cob,Map,Map,CT,Fairfield,ISNE,IPP Non-CHP,UN11,,25.0,18.7,23.6,Petroleum Liquids,KER,GT,9.0,1969.0, , ,(OP) Operating, , , , , , , , ,41.0289,-73.5989
22379,Connecticut Jet Power LLC,542.0,Cos Cob,Map,Map,CT,Fairfield,ISNE,IPP Non-CHP,UN12,,25.0,19.1,24,Petroleum Liquids,KER,GT,10.0,1969.0, , ,(OP) Operating, , , , , , , , ,41.0289,-73.5989
22379,Connecticut Jet Power LLC,542.0,Cos Cob,Map,Map,CT,Fairfield,ISNE,IPP Non-CHP,UN13,,20.0,19.1,24,Petroleum Liquids,KER,GT,6.0,2008.0, , ,(OP) Operating, , , , , , , , ,41.0289,-73.5989
22379,Connecticut Jet Power LLC,542.0,Cos Cob,Map,Map,CT,Fairfield,ISNE,IPP Non-CHP,un14,,20.0,19.6,23.5,Petroleum Liquids,KER,GT,6.0,2008.0, , ,(OP) Operating, , , , , , , , ,41.0289,-73.5989
22350,Devon Power LLC,544.0,Devon Station,Map,Map,CT,New Haven,ISNE,IPP Non-CHP,10,,18.6,14.4,19.2,Petroleum Liquids,KER,GT,1.0,1985.0, , ,(OP) Operating, , , , , , , , ,41.209797,-73.10898
22350,Devon Power LLC,544.0,Devon Station,Map,Map,CT,New Haven,ISNE,IPP Non-CHP,11,,51.0,29.2,38.8,Petroleum Liquids,KER,GT,7.0,1996.0, , ,(OP) Operating, , , , , , , , ,41.209797,-73.10898
22350,Devon Power LLC,544.0,Devon Station,Map,Map,CT,New Haven,ISNE,IPP Non-CHP,12,,51.0,29.2,38.4,Petroleum Liquids,KER,GT,7.0,1996.0, , ,(OP) Operating, , , , , , , , ,41.209797,-73.10898
22350,Devon Power LLC,544.0,Devon Station,Map,Map,CT,New Haven,ISNE,IPP Non-CHP,13,,51.0,29.9,38.9,Petroleum Liquids,KER,GT,7.0,1996.0, , ,(OP) Operating, , , , , , , , ,41.209797,-73.10898
22350,Devon Power LLC,544.0,Devon Station,Map,Map,CT,New Haven,ISNE,IPP Non-CHP,14,,51.0,29.7,40.3,Petroleum Liquids,KER,GT,7.0,1996.0, , ,(OP) Operating, , , , , , , , ,41.209797,-73.10898
22380,NRG Montville Operations Inc,546.0,Montville Station,Map,Map,CT,New London,ISNE,IPP Non-CHP,10,,2.7,2.7,2.7,Petroleum Liquids,DFO,IC,1.0,1967.0, , ,(SB) Standby/Backup: available for service but not normally used, , , , , , , , ,41.4281,-72.1019
22380,NRG Montville Operations Inc,546.0,Montville Station,Map,Map,CT,New London,ISNE,IPP Non-CHP,11,,2.7,2.7,2.7,Petroleum Liquids,DFO,IC,1.0,1967.0, , ,(SB) Standby/Backup: available for service but not normally used, , , , , , , , ,41.4281,-72.1019
22380,NRG Montville Operations Inc,546.0,Montville Station,Map,Map,CT,New London,ISNE,IPP Non-CHP,5,,75.0,81,83,Natural Gas Steam Turbine,NG,ST,1.0,1954.0, , ,(OP) Operating, , , , , , , , ,41.4281,-72.1019
22380,NRG Montville Operations Inc,546.0,Montville Station,Map,Map,CT,New London,ISNE,IPP Non-CHP,6,,414.9,410,410,Petroleum Liquids,RFO,ST,1.0,1971.0, , ,(OP) Operating, , , , , , , , ,41.4281,-72.1019
58185,"FirstLight Power Resources, Inc. - MA",547.0,Northfield Mountain,Map,Map,MA,Franklin,ISNE,IPP Non-CHP,1,,292.0,292,292,Hydroelectric Pumped Storage,WAT,PS,2.0,1973.0, , ,(OP) Operating, , , , , , , , ,42.610683,-72.47164
58185,"FirstLight Power Resources, Inc. - MA",547.0,Northfield Mountain,Map,Map,MA,Franklin,ISNE,IPP Non-CHP,2,,292.0,292,292,Hydroelectric Pumped Storage,WAT,PS,10.0,1973.0, , ,(OP) Operating, , , , , , , , ,42.610683,-72.47164
58185,"FirstLight Power Resources, Inc. - MA",547.0,Northfield Mountain,Map,Map,MA,Franklin,ISNE,IPP Non-CHP,3,,292.0,292,292,Hydroelectric Pumped Storage,WAT,PS,7.0,1973.0, , ,(OP) Operating, , , , , , , , ,42.610683,-72.47164
58185,"FirstLight Power Resources, Inc. - MA",547.0,Northfield Mountain,Map,Map,MA,Franklin,ISNE,IPP Non-CHP,4,,292.0,292,292,Hydroelectric Pumped Storage,WAT,PS,11.0,1972.0, , ,(OP) Operating, , , , , , , , ,42.610683,-72.47164
54895,FirstLight Power Resources Services LLC,551.0,Scotland Dam,Map,Map,CT,Windham,ISNE,IPP Non-CHP,1,,2.0,1.7,2.2,Conventional Hydroelectric,WAT,HY,1.0,1937.0, , ,(OP) Operating, , , , , , , , ,41.6651,-72.1221
